OAKB;Khwaja Rawash, Kabul, Afghanistan
SBCP;Bartolomeu Lisandro, Campos, Brazil
SBCR;Internacional, Corumba, Brazil
SBCT;Afonso Pena, Curitiba, Brazil
SBCY;M. Rondon, Cuiaba, Brazil
SBCZ;Campo Internacional, Cruzeiro Do Sul, Brazil
SBDN;A. De Barros, Presidente Prudente, Brazil
SBFL;Hercilio Luz, Florianopolis, Brazil
SBFZ;Pinto Martins, Fortaleza, Brazil
SBGL;Galeao-Antonio C Jobim International, Rio de Janeiro, Brazil
SBGO;Santa Genoveva, Goiania, Brazil
SBGR;Guarulhos International, Sao Paulo, Brazil
SBJF;Francisco De Assis, Juiz De Fora, Brazil
SBJP;Castro Pinto, Joato Pessoa, Brazil
SBJU;Regional Do Carin, Juazeiro Do Norte, Brazil
SBKG;Joao Suassuna, Campina Grande, Brazil
SBKP;Viracopos International, Campinas, Brazil
SBMN;Eduardo Gomes Intl, Manaus, Brazil
SBMO;Palmares, Maceio, Brazil
SBMQ;Internacional, Macapa, Brazil
SBNT;Augusto Severo, Natal, Brazil
SBPA;Salgado Filhe, Porto Alegre, Brazil
SBPB;Santos Dumont, Parnailba, Brazil
SBPG;Municipal, Paranagua, Brazil
SBPK;Federal, Pelotas, Brazil
SBPL;Internacional, Petrolina, Brazil
SBPP;International, Ponta Pora, Brazil
SBPV;Belmonte, Porto Velho, Brazil
SBRB;Pres. Medici, Rio Branco, Brazil
SBRF;Guararapes Intl, Recife, Brazil
SBRJ;Santos Dumont, Rio de Janeiro, Brazil
SBSL;Mal. Cunha Machado, Sao Luiz, Brazil
SBSM;Base Aerea, Santa Maria, Brazil
SBSN;Eduardo Gomes, Santarem, Brazil
SBSP;Congonhas, Sao Paulo, Brazil
SBSV;Arpt Luis R. Magalhaes, Salvador, Brazil
SBTT;Internacional, Tabatinga, Brazil
SBUA;Da Cachoeira, Sao Gabriel, Brazil
SBUG;Ruben Berta, Uruguaiana, Brazil
SBUL;Eduardo Gomes, Uberlandia, Brazil
SBVT;Euroo Sales, Vitoria, Brazil
SWPI;Amazonas, Parintins, Brazil
WBSB;Brunei International, Bandar Seri Begawan, Brunei
LBSF;Vrazhdebna, Sofia, Bulgaria
DFFD;Aeroport, Ouagadougou, Burkina Faso
DFOO;Borgo, Bobo Dioulasso, Burkina Faso
HBBA;International, Bujumbura, Burundi
VDPP;Pochentong, Phnom-Penh, Cambodia
FKKA;Salam, Maroua, Cameroon
FKKY;Yaciunde Airport, Yaounde, Cameroon
FKYS;Nsimalen, Yaounde, Cameroon
CYAW;Shearwater, Halifax, Canada
CYAZ;Tofino Airport, Tofino, Canada
CYBB;Townsite Arpt, Pelly Bay, Canada
CYBW;Springbank, Calgary, Canada
CYDF;Nfld., Deer Lake, Canada
CYDP;Nfld., Nain, Canada
CYED;Namao Fld, Edmonton, Canada
CYEG;International, Edmonton, Canada
CYHU;Saint Hubert Airport, Montreal, Canada
CYHZ;Halifax International, Halifax, Canada
CYKZ;Buttonville, Toronto, Canada
CYLW;Kelowna Airport, Kelowna, Canada
CYMX;Mirabel, Montreal, Canada
CYOS;Billy Bishop Regional, Owen Sound, Canada
CYOW;International, Ottawa, Canada
CYPR;Digby Island, Prince Rupert, Canada
CYRO;Rockcliffe St, Ottawa, Canada
CYSL;St. Leonard Airport, Saint Leonard, Canada
CYTZ;Toronto Island, Toronto, Canada
CYUL;Pierre Elliot Trudeau International, Montreal, Canada
CYVM;Broughton Island Airport, Broughton Island, Canada
CYVR;Vancouver Intl, Vancouver, Canada
CYWG;International, Winnipeg, Canada
CYYJ;International, Victoria, Canada
CYYZ;Pearson International, Toronto, Canada
CZEM;East Main River Airport, East Main River, Canada
CZFM;Fort McPherson Airport, Fort McPherson, Canada
CZFN;Tulita, Tulita/Fort Norman, Canada
CZUM;Nfld., Churchill Falls, Canada
GVAC;Amilcar Cabrai International, Sal, Cape Verde Islands
SCAR;Chacalluta, Arica, Chile
SCBA;Teniente Vicial, Balmaceda, Chile
SCCI;Pres Ibanez, Punta Arenas, Chile
SCCY;Ten. Vidal, Coyhaique, Chile
SCEL;Arturo Merino Benitez, Santiago, Chile
SCHA;Chamonate, Copiapo, Chile
SCIE;Carriel Sur, Concepcion, Chile
SCSE;La Florida, La Serena, Chile
SCVD;Pichoy, Valdivia, Chile
ZBAA;Capital, Beijing, China
ZBTJ;Zhangguizhu, Tianjin, China
ZGCS;Huanghua, Changsha, China
ZLXY;Xianyang, Xi An, China
ZPPP;Wujiaba, Kunming, China
ZSPD;Pu Dong, Shanghai, China
ZSSS;Hongqiao, Shanghai, China
ZWWW;Diwopu, Urum-Qi, China
ZYTX;Taokian, Shenyang, China
SKAR;El Eden, Armenia, Colombia
SKBG;Palo Negro, Bucaramanga, Colombia
SKBO;Eldorado, Bogota, Colombia
SKBQ;Ernesto Cortissoz, Barranquilla, Colombia
SKCC;Camilo Daza, Cucuta, Colombia
SKCG;Rafael Nunez, Cartagena, Colombia
SKCL;Alfonso Bonilla Aragon, Cali, Colombia
SKLT;Gen. A.V. Cobo, Leticia, Colombia
SKPC;A. Guauquea, Puerto Carreno, Colombia
SKPE;Matecana, Pereira, Colombia
SKRH;Almirante Padilla, Riohacha, Colombia
SKSM;Simon Bolivar, Santa Marta, Colombia
SKSP;Gustavo Rojas Pinilla, San Andres Island, Colombia
SKUC;Santiago Perez, Arauca, Colombia
SKUI;El Carano, Quibdo, Colombia
SKVP;Alfonso Lopez, Valledupar, Colombia
SKVV;La Vanguardia, Villavicencio, Colombia
FCBB;Maya-Maya, Brazzaville, Congo
FCBY;Yokangassi, Nkayi, Congo
FZAA;N'Djili, Kinshasa, Congo, The Democratic Republic of
FZSA;Base, Kamina, Congo, The Democratic Republic of
MRNC;Guanacaste, Nicoya, Costa Rica
MROC;Juan Santamaria Intl, San Jose, Costa Rica
DIAP;Felix Houphouet Boigirly, Abidjan, Cote D'Ivoire
DIBN;Tehini, Bouna, Cote D'Ivoire
DIBU;Soko, Bondaukou, Cote D'Ivoire
DIDK;Ville, Dimbokro, Cote D'Ivoire
DITM;Mahana, Touba, Cote D'Ivoire
LDDU;Cilipi, Dubrovnik, Croatia
LDLO;Losinj Arpt, Mali Losinj, Croatia
LDPL;Zraèna luka Pula, Pula, Croatia
LDRI;Omisalj, Rijeka, Croatia
LDSB;Zraèna luka Braè, Braè, Croatia
LDSP;Kastela, Split, Croatia
LDZA;Pleso, Zagreb, Croatia
LDZD;Zemunik, Zadar, Croatia
MUBY;C.M. de Cespedes, Bayamo, Cuba
MUCA;Maximo Gomez, Ciego De Avila, Cuba
MUCF;Las Villas, Cienfuegos, Cuba
MUCM;Ign Agramonte Intl, Camaguey, Cuba
MUCU;Antonio Maceo, Santiago, Cuba
MUGM;Guantanamo NAS, Guantanamo, Cuba
MUGT;Los Canos, Guantanamo, Cuba
MUHA;Jose Marti Intl, Havana, Cuba
MUHG;Frank Pais, Holguin, Cuba
MUMZ;Sierra Maestra, Manzanillo, Cuba
MUNG;Rafael Cabrera, Nueva Gerona/Isla De Pinos, Cuba
MUVR;Juan Gualberto Gomez, Varadero/Matanzas, Cuba
LCLK;Larnaka, Larnaca, Cyprus
LCPH;Paphos International, Paphos, Cyprus
LCRA;RAF Akrotiri, Akrotiri, Cyprus
LKHO;Holesov, Zlin, Czech Republic
LKMT;Mosnov, Ostrava, Czech Republic
LKPR;Ruzyne, Prague, Czech Republic
LKTB;Turany, Brno, Czech Republic
EKAH;Tirstrup, Aarhus, Denmark
EKBI;Billund Airport, Billund, Denmark
EKCH;Kastrup, Copenhagen, Denmark
EKKA;Military, Karup, Denmark
EKLS;Laeso Airport, Laeso Island, Denmark
EKMB;Lufthavn, Maribo, Denmark
EKOD;Beldringe, Odense, Denmark
EKRK;Roskilde, Copenhagen, Denmark
EKSA;Private Aerodrome, Saeby / Ottestrup, Denmark
EKSB;Lufthavn, Sonderborg, Denmark
EKSN;Flyveplads, Sindal, Denmark
EKSP;Military, Vojens / Skrydstrup, Denmark
EKSV;Skive Airport, Skive, Denmark
EKTS;Lufthavn, Thisted, Denmark
EKVJ;Lufthavn, Stauning, Denmark
EKYT;Civil/Military, Aalborg, Denmark
HDAM;Ambouli, Djibouti, Djibouti
TDCF;Cane Field Airport, Dominica, Dominica
TDPD;Melville Hall Airport, Dominica, Dominica
MDHE;Herrera, Santo Domingo, Dominican Republic
MDLR;La Romana International Airport, La Romana, Dominican Republic
MDPP;La Union, Puerto Plata, Dominican Republic
MDSD;De Las Americas International, Santo Domingo, Dominican Republic
MDST;Municipal, Santiago, Dominican Republic
SEAM;Chachoan, Ambato, Ecuador
SECU;Mariscal Lamar, Cuenca, Ecuador
SEGU;Simon Bolivar, Guayaquil, Ecuador
SEMA;J. M. Velasco I., Macara, Ecuador
SEMH;General M. Serrano, Machala, Ecuador
SEPA;Rio Amazonas, Pastaza, Ecuador
SEQU;Mariscal Sucre, Quito, Ecuador
SESA;General Ulpiano Paez, Salinas, Ecuador
SETU;El Rosal, Tulcan, Ecuador
HEAX;Nouzha, Alexandria, Egypt
HEBA;Borg El Arab Airport, Alexandria, Egypt
HECA;International, Cairo, Egypt
HEDK;Dakhla, Dakhla Oasis, Egypt
HESH;Ophira, Sharm El Sheikh, Egypt
HETB;Talba International, Taba, Egypt
MSSS;Ilopango, San Salvador, El Salvador
HHAS;Asmara International, Asmara, Eritrea
EETN;Ulemiste, Tallinn, Estonia
EETR;Raadi, Tartu, Estonia
HAAB;Bole, Addis Ababa, Ethiopia
HADR;Aba Tenna D Yilma, Dire Dawa, Ethiopia
HAGH;Ginir, Ghinnir, Ethiopia
HAJJ;Jigiga, Jijag, Ethiopia
HASO;Asosa, Assosa, Ethiopia
NFFN;Nadi International, Nandi, Fiji
NFMA;Mana Island Airstrip, Mana Island, Fiji
NFNB;Levuka Airfield, Bureta, Fiji
NFNU;Dama, Bua, Fiji
NFSU;Nausori, Suva, Fiji
EFHF;Malmi, Helsinki, Finland
EFHK;Vantaa, Helsinki, Finland
EFKE;Tornio, Kemi, Finland
EFKK;Kruunupyy, Kokkola / Pietarsaari, Finland
EFMA;Aland Island, Mariehamn, Finland
EFSI;llmajoki, Seinäjoki, Finland
EFTP;Pirkkala, Tampere, Finland
LFAB;Saint Aubin, Dieppe, France
LFAD;Margny, Compiegne, France
LFAF;Chambry, Laon, France
LFAK;Ghyvelde, Dunkerque, France
LFAT;Le Touquet, Paris, France
LFAY;Glisy, Amiens, France
LFBA;La Garenne, Agen, France
LFBD;Merignac, Bordeaux, France
LFBE;Roumanieres, Bergerac, France
LFBG;Chateau Bernard, Cognac, France
LFBH;Laleu, La Rochelle, France
LFBI;Biard, Poitiers, France
LFBK;Gueret (Lepaud), Montlucon, France
LFBL;Bellegarde, Limoges, France
LFBN;Souche, Niort, France
LFBO;Blagnac, Toulouse, France
LFBP;Uzein, Pau, France
LFBT;Tarbes Ossun Lourdes, Lourdes/Tarbes, France
LFBU;Brie-Champniers, Angouleme, France
LFBV;Laroche, Brive-La-Gaillarde, France
LFBX;Bassillac, Perigueux, France
LFBY;Seyresse, Dax, France
LFBZ;Biarritz Parme, Biarritz, France
LFCA;Targe, Chatellerault, France
LFCC;Laberande, Cahors, France
LFCE;Saint Laurent, Gueret, France
LFCH;Teste de Buch, Arcachon, France
LFCI;Le Sequestre, Albi, France
LFCK;Mazamet, Castres, France
LFCR;Marcillac, Rodez, France
LFCY;Medis, Royan, France
LFDI;Artiques de Lussac, Libourne, France
LFDM;Virazeil, Marmande, France
LFDN;Saint Agnant, Rochefort, France
LFDS;Domme, Sarlat, France
LFDT;Laloubere, Tarbes, France
LFGJ;Aéroport de Dole-Tavaux, Dole, France
LFHP;Loudes, Le Puy, France
LFJL;Metz-Nancy-Lorraine, Metz / Nancy, France
LFJM;Marce, Angers, France
LFKB;Poretta, Bastia, France
LFKC;Ste Catherine, Calvi, France
LFKF;Sud Corse, Figari, France
LFKJ;Campo Dell Oro, Ajaccio, France
LFLA;Auxerre Branches, Auxerre, France
LFLB;Aix-Les-Bains, Chambery, France
LFLC;Auvergne Airport, Clermont-Ferrand, France
LFLL;Satolas, Lyon, France
LFLN;Charolais Bourgogne S., Saint Yan, France
LFLS;Saint Geoirs, Grenoble, France
LFLV;Charmeil, Vichy, France
LFLY;Bron, Lyon, France
LFMD;Mandelieu, Cannes, France
LFMH;Boutheon, St. Etienne, France
LFMK;Salvaza, Carcassonne, France
LFML;Marignane, Marseille, France
LFMN;Cote D'Azur, Nice, France
LFMP;Llabanere, Perpignan, France
LFMT;Frejorgues, Montpellier, France
LFMU;Vias, Beziers, France
LFMV;Avignon-Caum, Avignon, France
LFNB;Brenoux, Mende, France
LFOB;Beauvais-Tille Airport, Paris, France
LFOH;Octeville, Le Havre, France
LFOP;Boos, Rouen, France
LFOT;St Symphorien, Tours, France
LFPB;Le Bourget, Paris, France
LFPC;AFB, Creil, France
LFPG;Charles De Gaulle, Paris, France
LFPI;Heliport De Paris, Paris, France
LFPO;Orly, Paris, France
LFQQ;Lesquin, Lille, France
LFRB;Guipavas, Brest, France
LFRC;Maupertus, Cherbourg, France
LFRD;Pleurtuit, Dinard, France
LFRG;St. Gatien, Deauville, France
LFRK;Carpiquet, Caen, France
LFRM;Arnage, Le Mans, France
LFRN;St Jacques, Rennes, France
LFRO;Servel, Lannion, France
LFRQ;Pluguffan, Quimper, France
LFRS;Nantes Atlantique, Nantes, France
LFRU;Ploujean, Morlaix, France
LFRV;Meucon, Vannes, France
LFRZ;Montoir, St. Nazaire, France
LFSB;EuroAirport, Mulhouse/Basel, France
LFSF;Frescaty, Metz, France
LFSG;Mirecourt, Epinal, France
LFSN;Essey, Nancy, France
LFSQ;Fontaine, Belfort, France
LFST;Entzineim, Strasbourg, France
LFTW;Garons, Nimes, France
LFTZ;La Mole, Saint Tropez, France
NTAA;Faaa/Tahiti, Papeete, French Polynesia
NTHE;Ahe Airport, Ahe, French Polynesia
NTTB;Motu-mute, Bora Bora, French Polynesia
NTTG;Tuamoto Island, Rangiroa, French Polynesia
NTTH;Flying Boat, Huahine, French Polynesia
NTTM;Ternae, Moorea, French Polynesia
FOON;Francevilie/Mvengue, Franceville, Gabon
UGGG;Novo Alexeyevka, Tbilisi, Georgia
UGKK;Central, Kutaisi, Georgia
UGKO;Kopitnari, Kutaisi, Georgia
UGSB;Chorokhi, Batumi, Georgia
UGSS;Babusheri, Sukhumi, Georgia
EDAC;Altenburg Nobitz, Altenburg, Germany
EDBG;RAF Gatow, Berlin, Germany
EDDB;Schoenefeld, Berlin, Germany
EDDC;Klotzsche, Dresden, Germany
EDDE;Bindersleben, Erfurt, Germany
EDDF;International, Frankfurt, Germany
EDDG;Osnabrueck, Muenster, Germany
EDDH;Fuhlsbuettel, Hamburg, Germany
EDDI;Tempelhof, Berlin, Germany
EDDK;Konrad Adenauer, Cologne / Bonn, Germany
EDDL;Dusseldorf International, Dusseldorf, Germany
EDDM;Franz Josef Strauss, Munich, Germany
EDDP;Halle, Leipzig, Germany
EDDR;Ensheim, Saarbruecken / Saarbrücken, Germany
EDDS;Echterdingen, Stuttgart, Germany
EDDT;Tegel, Berlin, Germany
EDFH;Hahn, Frankfurt, Germany
EDFM;Mannheim Airport, Neuostheim / Mannheim, Germany
EDHI;Finkenwerder, Hamburg, Germany
EDHK;Holtenau Civilian, Kiel, Germany
EDHL;Blankensee, Luebeck, Germany
EDKB;Bonn-Hangelar, Cologne / Bonn, Germany
EDLN;Monchen-Gladbach - Dusseldorf Express, Dusseldorf, Germany
EDLP;Lippstadt, Paderborn, Germany
EDLV;Weeze, Weeze / Niederrhein, Germany
EDLW;Wickede, Dortmund, Germany
EDMA;Muhlhausen, Augsburg, Germany
EDOL;Rhein-Main AFB, Frankfurt, Germany
EDQD;Bindlacher-Berg, Bayreuth, Germany
EDSB;Soellinger, Karlsruhe / Baden Baden, Germany
EDVK;Calden, Kassel, Germany
EDWD;Lemwerder Airport, Lemwerder, Germany
EDXW;Sylt, Westerland, Germany
ETBA;Merzbruck, Aachen, Germany
ETEB;Katterbach, Ansbach, Germany
ETHE;Bentlage, Rheine, Germany
ETHF;Fritziar Airbase, Fritziar, Germany
ETHT;Flugplatz, Cottbus, Germany
ETNL;Laane, Rostock-Laage, Germany
ETOU;Air Base, Wiesbaden, Germany
ETUL;R.A.F. Laarbruch, Laarbruch, Germany
ETUR;R.A.F., Brueggen, Germany
DGAA;Kotoka, Accra, Ghana
LXGB;North Front, Gibraltar, Gibraltar
LGAD;Andravida, Pyrgos, Greece
LGAL;Demokritos Airport, Alexandroupolis, Greece
LGAT;Hellinikon, Athens / Athinai, Greece
LGAV;Eleftherios Venizelos International, Athens / Athinai, Greece
LGHI;Khios, Chios, Greece
LGHL;Alexion, Porto Cheli Kheli, Greece
LGIK;Ikaria, lkaria Island, Greece
LGIR;Iraklio - Nikos Kazantzakis, Heraklion, Greece
LGKA;Aristotelis, Kastoria, Greece
LGKF;Argostolion, Kefalhnia, Greece
LGKO;Ippokratis, Kos, Greece
LGKR;Ioannis Kapodistrias, Kerkyra / Corfu, Greece
LGKV;Megas Alexandros, Kavala / Chrysoupoli, Greece
LGKZ;Filippos, Kozani, Greece
LGMT;Odysseas, Mytilini, Greece
LGPL;Astypalaia, Astypalaia Island, Greece
LGPZ;Aktion, Preveza/Lefkas, Greece
LGRP;Diagoras / Paradisi, Rhodes, Greece
LGRX;Patrai, Araxos, Greece
LGSA;Khania, Souda, Greece
LGTS;Makedonia Airport, Thessaloniki, Greece
LGVO;Nea Anchialos, Volos, Greece
LGZA;Dionysios Solomos, Zakinthos Island, Greece
BGGD;Heliport, Groennedal, Greenland
TGPY;Point Saline International, Grenada, Grenada
TFFR;Le Raizet, Pointe A Pitre, Guadeloupe
PGUA;Anderson AFB, Guam, Guam
PGUM;A.B. Won Pat International, Guam, Guam
MGFL;Santa Elena, Flores, Guatemala
MGGT;Aeropuerto La Aurora, Guatemala City, Guatemala
GUCY;Gbessia, Conakry, Guinea
GUFH;Badala, Faranah, Guinea
SYGT;Cheddi Jagan Infl, Georgetown, Guyana
MHLC;Goloson International, La Ceiba, Honduras
MHLM;Ramon Villeda Morales, San Pedro Sula, Honduras
MHTG;Toncontin, Tegucigalpa, Honduras
VHHH;Chek Lap Kok, Hong Kong, Hong Kong
LHBP;Ferihegy, Budapest, Hungary
LHPP;Pogany, Pecs, Hungary
LHPP;Pogany, Pecs, Hungary
LHPR;Gyõr-Pér Airport, Gyor, Hungary
LHSM;Sarmellek/Balaton, Saarmelleek, Hungary
BIKF;Keflavik International, Reykjavik, Iceland
BIKR;Comalapa International, Saudarkrokur, Iceland
BIRK;Reykjavik Domestic, Reykjavik, Iceland
BIVO;Skjaldthingsstadir, Vopnafjordur, Iceland
VABB;Santacruz, Mumbai / Bombay, India
VABM;Sambra, Belgaum, India
VABP;Bairagarh, Bhopal, India
VAGO;Dabolim Airport, Goa, India
VEAT;Singerbhil, Agartala, India
VECC;Netaji Subhas Chandra, Calcutta, India
VEGT;Borlhar, Gauhati, India
VEJS;Sonari, Jamshedpur, India
VIAG;Kheria, Agra, India
VIAR;Raja Sansi, Amritsar, India
VIBN;Babatpur, Varanasi, India
VICX;Chakeri, Kanpur, India
VIDP;Indira Gandhi International, New Delhi, India
VIJP;Sanganeer, Jaipur, India
VILK;Amausi, Lucknow, India
VOBG;Hindustan, Bangalore, India
VOBZ;Gannavaram, Vijayawada, India
VOCB;Peelamedu, Coimbatore, India
VOCC;Willingdon, Cochin, India
VOHY;Begumpet Airport, Hyderabad, India
VOML;Balpe, Mangalore, India
WAAA;Hasanudin, Ujung Pandang, Indonesia
WAAB;Beto Ambiri, Baubau, Indonesia
WAWW;Wolter Monginsidi, Kendan, Indonesia
WABB;Mokmer, Biak, Indonesia
WABN;Timuka, Kokonao, Indonesia
WABO;Yendosa, Serui, Indonesia
WADD;Ngurah Rai Airport / Bali International Airport, Denpasar Bali, Indonesia
WAJJ;Sentani, Jayapura, Indonesia
WAJW;Wamena, Wamena, Indonesia
WAKK;Mopah, Merauke, Indonesia
WAKT;Tanah Merah, Tanah Merah, Indonesia
WAMA;Gamarmalamu, Galela, Indonesia
WAMI;Lalos, Tolitoli, Indonesia
WAML;Mutiara, Palu, Indonesia
WAMP;Kasiguncu, Poso, Indonesia
WAMT;Babullah, Ternate, Indonesia
WAMW;Bubung, Luwuk, Indonesia
WAPH;Taliabu, Labuha, Indonesia
WAPP;Pattimura, Ambon, Indonesia
WASF;Torea, Fak Fak, Indonesia
WASK;Utarom, Kaimana, Indonesia
WASR;Rendani, Manokwari, Indonesia
WASS;Jefman, Sorong, Indonesia
WIAA;Cut Bau, Sabang, Indonesia
WIAM;Cibeureum, Tasikmalaya, Indonesia
WIAS;Abdul Rahkmansaleh, Malang, Indonesia
WIDD;HaNadirr,, Batam, Indonesia
WIDN;Kidjang, Tanjung Pinang, Indonesia
WIIB;Husein Sastranegara, Bandung, Indonesia
WIII;Soekarno-Hatta International, Jakarta, Indonesia
WIIL;Tunggul Wuiung, Cilacap, Indonesia
WARS;Achmad Uani, Semarang, Indonesia
WIKD;Bulutumbang, Tanjung Pandan, Indonesia
WIKK;Pangkalpinang, Pangkalpinang, Indonesia
WIKS;Dabo, Singkep, Indonesia
WIMB;Binaka, Gunungsitoli, Indonesia
WIMG;Tabing, Padang, Indonesia
WIMM;Polonia, Medan, Indonesia
WIOK;Rahadi Usmaman, Ketapang, Indonesia
WIOO;Supadio, Pontianak, Indonesia
